route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible
580,0000000662023061020230910,0003888542023061020230910,Corso Verona Ospedale,0,D475_R5641b_Andata_(Ospedale)_sub2,1
580,0000000662023061020230910,0003888552023061020230910,Corso Verona Ospedale,0,D475_R5641b_Andata_(Ospedale)_sub2,1
580,0000000662023061020230910,0003888562023061020230910,Corso Verona Ospedale,0,D475_R5641b_Andata_(Ospedale)_sub2,1
580,0000000662023061020230910,0003888572023061020230910,Corso Verona Ospedale,0,D475_R5641b_Andata_(Ospedale)_sub2,1
580,0000000662023061020230910,0003888582023061020230910,Corso Verona Ospedale,0,D475_R5641b_Andata_(Ospedale)_sub2,1
580,0000000662023061020230910,0003888592023061020230910,Corso Verona Ospedale,0,D475_R5641b_Andata_(Ospedale)_sub2,1
580,0000000662023061020230910,0003888602023061020230910,Corso Verona Ospedale,0,D475_R5641b_Andata_(Ospedale)_sub2,1
580,0000000662023061020230910,0003888612023061020230910,Corso Verona Ospedale,0,D475_R5641b_Andata_(Ospedale)_sub2,1
580,0000000662023061020230910,0003888622023061020230910,Corso Verona Ospedale,0,D475_R5641b_Andata_(Ospedale)_sub2,1
580,0000000662023061020230910,0003888632023061020230910,Costa Capolinea,1,D472_R5632a_Ritorno_PRINCIPALE_sub2,1
580,0000000662023061020230910,0003888642023061020230910,Costa Capolinea,1,D476_R5642a_Ritorno_(Ospedale)_sub1,1
580,0000000662023061020230910,0003888652023061020230910,Costa Capolinea,1,D476_R5642a_Ritorno_(Ospedale)_sub1,1
580,0000000662023061020230910,0003888662023061020230910,Costa Capolinea,1,D476_R5642a_Ritorno_(Ospedale)_sub1,1
580,0000000662023061020230910,0003888672023061020230910,Costa Capolinea,1,D476_R5642a_Ritorno_(Ospedale)_sub1,1
580,0000000662023061020230910,0003888682023061020230910,Costa Capolinea,1,D476_R5642a_Ritorno_(Ospedale)_sub1,1
580,0000000662023061020230910,0003888692023061020230910,Costa Capolinea,1,D476_R5642a_Ritorno_(Ospedale)_sub1,1
580,0000000662023061020230910,0003888702023061020230910,Costa Capolinea,1,D476_R5642a_Ritorno_(Ospedale)_sub1,1
580,0000000662023061020230910,0003888712023061020230910,Costa Capolinea,1,D476_R5642a_Ritorno_(Ospedale)_sub1,1
580,0000000662023061020230910,0003888722023061020230910,Costa Capolinea,1,D476_R5642a_Ritorno_(Ospedale)_sub1,1
580,0000000662023061020230910,0003888732023061020230910,Costa Capolinea,1,D476_R5642a_Ritorno_(Ospedale)_sub1,1
580,0000000662023061020230910,0003888742023061020230910,Costa Capolinea,1,D476_R5642a_Ritorno_(Ospedale)_sub1,1
